"Year","wk","brand","country","channel","fc","season","salesUnits","air","aur","auc","recUnits","recCost","recRtl","recAIR","recAUC","sohAdjust","storeInv","dcInv","transIn","transOut","RtlSales","Cogs"
2017,2,"Janie & Jack","USA","Web","JJ 17 DEC RESORT 2","Spring",2738,$39.61,$20.08,$7.16,,,,,,-3,11142,,2850,2882,$54966.00,$19597.00
2017,2,"Janie & Jack","USA","Web","JJ 17 DEC SWIM","Seasonal Basics",2974,$34.67,$17.15,$6.55,,,,,,-119,12841,,3048,3071,$51011.00,$19483.00
2017,2,"Janie & Jack","USA","Web","JJ 17 DEC VDAY","Spring",1732,$39.57,$19.89,$6.91,,,,,,-31,4834,,1788,1797,$34453.00,$11966.00
2017,2,"Janie & Jack","USA","Web","JJ 17 FEB EASTER 1","Spring",1155,$40.47,$37.83,$7.77,,,,,,-21,89626,,1161,1161,$43689.00,$8976.00
2017,2,"Janie & Jack","USA","Web","JJ 17 FEB EASTER GIFT LAY","Spring",48,$27.69,$26.06,$6.08,,,,,,-1,8278,,48,48,$1251.00,$292.00
2017,2,"Janie & Jack","USA","Web","JJ 17 FEB SPR 2","Spring",1058,$42.23,$39.57,$8.24,,,,,,-18,49848,,1076,1083,$41862.00,$8714.00
2017,2,"Janie & Jack","USA","Web","JJ 17 JAN SO SB1","Seasonal Basics",388,$57.42,$54.30,$11.24,207,$791.98,$3726.00,$18.00,$3.83,-14,18765,,408,421,$21067.00,$4363.00
2017,2,"Janie & Jack","USA","Web","JJ 17 JAN SPR GIFTING LAYETTE","Spring",246,$35.00,$21.87,$7.51,,,,,,5,4483,,266,270,$5379.00,$1848.00
2017,2,"Janie & Jack","USA","Web","JJ 17 JAN SPRING 1","Spring",1065,$35.60,$33.68,$6.78,,,,,,-15,60854,,1126,1154,$35869.00,$7219.00
2017,2,"Janie & Jack","USA","Web","JJ 17 JAN SPRING TRANS","Spring",10922,$36.88,$17.38,$6.39,,,,,,-151,38144,,11029,11045,$189772.00,$69757.00
2017,2,"Janie & Jack","USA","Web","JJ 17 JAN SWIM 2","Seasonal Basics",2125,$35.52,$22.16,$6.30,,,,,,-21,45483,,2209,2220,$47080.00,$13378.00
